ï»¿POL_NO,CLAIMANT_COUNTRY_Anonymized,CLM_NO,Make,VEHICLE_MODEL,Policy From Year,Accident  Year,Body Type,SI Band,Claim Amount
Policy Number 8203,Country 136,Claim Number 15427,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8239,Country 136,Claim Number 15447,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8218,Country 136,Claim Number 15441,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8255,Country 136,Claim Number 15469,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8229,Country 136,Claim Number 15451,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8254,Country 136,Claim Number 15449,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8203,Country 136,Claim Number 15461,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5122,Country 136,Claim Number 9712,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8249,Country 136,Claim Number 15479,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5159,Country 136,Claim Number 9768,LEXUS,GS 350,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5351,Country 136,Claim Number 9779,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4972,Country 136,Claim Number 9757,AUDI,Q7,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4998,Country 136,Claim Number 9843,TOYOTA,LANDCRUISER,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8200,Country 136,Claim Number 15482,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8208,Country 136,Claim Number 15485,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5350,Country 136,Claim Number 9868,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5296,Country 136,Claim Number 9889,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5312,Country 136,Claim Number 9913,LEXUS,RX 450H,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5107,Country 136,Claim Number 9849,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5107,Country 136,Claim Number 9832,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5232,Country 136,Claim Number 9934,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4990,Country 136,Claim Number 9975,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4990,Country 136,Claim Number 9975,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5335,Country 136,Claim Number 9959,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5238,Country 136,Claim Number 10002,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5294,Country 136,Claim Number 9969,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8233,Country 136,Claim Number 15504,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5168,Country 136,Claim Number 9830,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8203,Country 136,Claim Number 15563,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 4995,Country 136,Claim Number 9592,GMC,YUKON DENALI,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4995,Country 136,Claim Number 9679,GMC,YUKON DENALI,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5094,Country 136,Claim Number 9816,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5147,Country 136,Claim Number 9853,LEXUS,LX570,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 7488,Country 136,Claim Number 14352,TOYOTA,FJ CRUISER,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5509,Country 136,Claim Number 10460,NISSAN,PATROL,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5346,Country 136,Claim Number 9990,LEXUS,GX460,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8216,Country 136,Claim Number 15522,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5103,Country 136,Claim Number 10076,LAND ROVER,RANGE ROVER SPORTS,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5135,Country 136,Claim Number 10063,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5166,Country 136,Claim Number 10083,LAND ROVER,RANGE ROVER HSE,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5093,Country 136,Claim Number 10085,TOYOTA,LAND CRUISER- VXR,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5351,Country 136,Claim Number 10086,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5291,Country 136,Claim Number 10032,LEXUS,LX570,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5236,Country 136,Claim Number 10135,CHEVROLET,TAHOE,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5293,Country 136,Claim Number 10075,LAND ROVER,RANGE ROVER EVOQUE,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5409,Country 136,Claim Number 10145,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5289,Country 136,Claim Number 10105,LEXUS,GX460,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5347,Country 136,Claim Number 10108,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8196,Country 136,Claim Number 15547,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8236,Country 136,Claim Number 15572,GMC,YUKON,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8250,Country 136,Claim Number 15573,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8256,Country 136,Claim Number 15558,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8250,Country 136,Claim Number 15573,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5367,Country 136,Claim Number 10174,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5190,Country 136,Claim Number 10068,TOYOTA,LANDCRUISER,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5311,Country 136,Claim Number 10204,LEXUS,RX350,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8217,Country 136,Claim Number 15530,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5165,Country 136,Claim Number 10200,LAND ROVER,RANGE ROVER VOGUE,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5316,Country 136,Claim Number 10205,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5283,Country 136,Claim Number 10217,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5228,Country 136,Claim Number 10227,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5348,Country 136,Claim Number 10166,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5350,Country 136,Claim Number 10148,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5117,Country 136,Claim Number 10287,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7307,Country 136,Claim Number 14621,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5234,Country 136,Claim Number 10264,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 7378,Country 136,Claim Number 14627,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8216,Country 136,Claim Number 15625,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 4959,Country 136,Claim Number 10123,TOYOTA,LAND CRUISER 70,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5288,Country 136,Claim Number 10263,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7488,Country 136,Claim Number 14580,TOYOTA,FJ CRUISER,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8227,Country 136,Claim Number 15616,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5131,Country 136,Claim Number 10304,TOYOTA,LAND CRUISER GXR,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4995,Country 136,Claim Number 10159,GMC,YUKON DENALI,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7398,Country 136,Claim Number 14642,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8213,Country 136,Claim Number 15635,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8224,Country 136,Claim Number 15647,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8238,Country 136,Claim Number 15637,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5165,Country 136,Claim Number 10283,LAND ROVER,RANGE ROVER VOGUE,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5190,Country 136,Claim Number 10334,TOYOTA,LANDCRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5218,Country 136,Claim Number 10295,LAND ROVER,RANGE ROVER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5192,Country 136,Claim Number 10324,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8321,Country 136,Claim Number 15618,JEEP,WRANGLER SAHARA,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5059,Country 136,Claim Number 10222,PORSCHE,CAYENNE,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5059,Country 136,Claim Number 10223,PORSCHE,CAYENNE,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5438,Country 136,Claim Number 10390,LEXUS,RX350,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7356,Country 136,Claim Number 14705,GMC,TERRAIN,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8214,Country 136,Claim Number 15666,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5243,Country 136,Claim Number 10343,GMC,YUKON,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5260,Country 136,Claim Number 10351,CHEVROLET,SUBURBAN,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8231,Country 136,Claim Number 15680,CHEVROLET,SILVERADO,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8252,Country 136,Claim Number 15727,GMC,SIERRA DENALI,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5265,Country 136,Claim Number 10418,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5309,Country 136,Claim Number 10436,LEXUS,LX570,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8211,Country 136,Claim Number 15536,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 5422,Country 136,Claim Number 10387,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5343,Country 136,Claim Number 10496,NISSAN,PATROL SE PLATINUM,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5358,Country 136,Claim Number 10465,NISSAN,PATROL,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5291,Country 136,Claim Number 10508,LEXUS,LX570,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 7452,Country 136,Claim Number 14850,LAND ROVER,RANGE ROVER EVOQUE,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 5176,Country 136,Claim Number 10272,CADILLAC,ESCALADE,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 5428,Country 136,Claim Number 10548,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5357,Country 136,Claim Number 10506,TOYOTA,LAND CRUISER,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5438,Country 136,Claim Number 10577,LEXUS,RX350,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5299,Country 136,Claim Number 10525,GMC,YUKON,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5326,Country 136,Claim Number 10203,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 7188,Country 136,Claim Number 14428,AUDI,A7,2017,2017,1. Saloon, 75K to 100K ,"-1,000.00 "
Policy Number 5618,Country 136,Claim Number 10391,MERCEDES BENZ,CLS-CLASS,2018,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5565,Country 136,Claim Number 10311,MERCEDES BENZ,S-CLASS,2018,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 8328,Country 136,Claim Number 15801,LEXUS,LX570,2017,2018,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 14081,Country 136,Claim Number 25009,MERCEDES BENZ,S-CLASS,2018,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 3523,Country 136,Claim Number 5320,TOYOTA,COASTER,2018,2018,4. Buses, 100K to 150K ,"-1,000.00 "
Policy Number 8160,Country 136,Claim Number 15285,CHEVROLET,SILVERADO,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 8147,Country 136,Claim Number 15305,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 8177,Country 136,Claim Number 15296,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 5012,Country 136,Claim Number 9333,MASERATI,GHIBLI-S-Q4,2017,2017,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 5080,Country 136,Claim Number 9393,BMW,640i,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8176,Country 136,Claim Number 15311,CHEVROLET,SILVERADO,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 5130,Country 136,Claim Number 9523,MASERATI,GHIBLI-S-Q4,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 4993,Country 136,Claim Number 9521,MERCEDES-BENZ,CLS 400,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8177,Country 136,Claim Number 15397,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 8160,Country 136,Claim Number 15421,CHEVROLET,SILVERADO,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 5245,Country 136,Claim Number 9688,LEXUS,GS 350,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8175,Country 136,Claim Number 15466,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 8163,Country 136,Claim Number 15523,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 8149,Country 136,Claim Number 15519,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 7294,Country 136,Claim Number 14336,MERCEDES-BENZ,C250,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 8263,Country 136,Claim Number 15492,CHEVROLET,IMPALA,2017,2017,1. Saloon, 75K to 100K ,"-1,000.00 "
Policy Number 8199,Country 136,Claim Number 15514,CHEVROLET,IMPALA,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 8169,Country 136,Claim Number 15366,LEXUS,IS 350,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 8248,Country 136,Claim Number 15425,VOLKSWAGEN,BEETLE,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 14027,Country 136,Claim Number 24939,MASERATI,GHIBLI-S-Q4,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 14375,Country 136,Claim Number 25367,MERCEDES BENZ,C-CLASS,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 13331,Country 136,Claim Number 23149,VOLKSWAGEN,GOLF,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 8157,Country 136,Claim Number 15568,CHEVROLET,IMPALA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 5352,Country 136,Claim Number 10011,LEXUS,LS460,2017,2017,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 4981,Country 136,Claim Number 9961,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 200K to 250K ,"-1,000.00 "
Policy Number 7549,Country 136,Claim Number 14347,VOLKSWAGEN,GOLF GTI,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 8165,Country 136,Claim Number 15549,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 5262,Country 136,Claim Number 9905,LEXUS,ES350,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 14048,Country 136,Claim Number 24971,LAND ROVER,RANGE ROVER,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 8146,Country 136,Claim Number 15576,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 8156,Country 136,Claim Number 15589,GMC,SIERRA,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 8175,Country 136,Claim Number 15548,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 5155,Country 136,Claim Number 10070,MERCEDES-BENZ,C200K,2017,2017,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 5245,Country 136,Claim Number 10162,LEXUS,GS 350,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 14340,Country 136,Claim Number 25412,CHEVROLET,SILVERADO,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 100K to 150K ,"-1,000.00 "
Policy Number 8150,Country 136,Claim Number 15613,GMC,SIERRA,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 5403,Country 136,Claim Number 10229,LEXUS,GS350,2017,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 8296,Country 136,Claim Number 15629,LEXUS,RX350,2017,2018,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 7504,Country 136,Claim Number 14647,NISSAN,MAXIMA,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5130,Country 136,Claim Number 10192,MASERATI,GHIBLI-S-Q4,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 8161,Country 136,Claim Number 15606,GMC,SIERRA,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 7415,Country 136,Claim Number 14666,LEXUS,IS350,2017,2018,1. Saloon, 150K to 200K ,"-1,000.00 "
Policy Number 8267,Country 136,Claim Number 15567,CHEVROLET,IMPALA,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5031,Country 136,Claim Number 10137,AUDI,A8,2017,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 8248,Country 136,Claim Number 15767,VOLKSWAGEN,BEETLE,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5352,Country 136,Claim Number 10438,LEXUS,LS460,2017,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 5563,Country 136,Claim Number 10414,GMC,YUKON,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5273,Country 136,Claim Number 10502,LEXUS,GS 350,2017,2018,1. Saloon, 250K+ ,"-1,000.00 "
Policy Number 14375,Country 136,Claim Number 25460,MERCEDES BENZ,C-CLASS,2017,2018,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 5005,Country 136,Claim Number 10158,GMC,SIERRA DENALI,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 200K to 250K ,"-1,000.00 "
Policy Number 5005,Country 136,Claim Number 10158,GMC,SIERRA DENALI,2017,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 200K to 250K ,"-1,000.00 "
Policy Number 5689,Country 136,Claim Number 10500,NISSAN,PATROL,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 14084,Country 136,Claim Number 25011,TOYOTA,LAND CRUISER,2018,2018,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 5388,Country 136,Claim Number 10563,CADILLAC,CT6,2017,2018,1. Saloon, 200K to 250K ,"-1,000.00 "
Policy Number 14041,Country 136,Claim Number 24944,LAND ROVER,RANGE ROVER SPORT,2017,2017,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 14041,Country 136,Claim Number 25008,LAND ROVER,RANGE ROVER SPORT,2017,2018,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 7263,Country 122,Claim Number 14167,NISSAN,PATROL,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 8158,Country 092,Claim Number 15375,GMC,SIERRA,2017,2017,3A. Light Pick-Ups and Vans upto 3 Tons, 150K to 200K ,"-1,000.00 "
Policy Number 8191,Country 053,Claim Number 15353,CHEVROLET,IMPALA,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7282,Country 092,Claim Number 14243,MERCEDES-BENZ,E300,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
Policy Number 7404,Country 092,Claim Number 14250,LEXUS,GS350,2017,2017,1. Saloon, 100K to 150K ,"-1,000.00 "
